step,distFromStart,speedX,speedY,angle,trackPos,sensorFront,curLapTime,lastLapTime,steer,accel,brake,gear
152,2768.48,90.6681,-0.484375,-0.0845912,0.0969043,53.4437,2.094,0.0,0.005176721571338845,0.88,0.0,3
153,2769.03,91.5352,-0.392278,-0.0851429,0.105818,52.5741,2.116,0.0,8.367018888890288e-05,0.88,0.0,3
154,2769.59,92.3996,-0.311688,-0.0852478,0.114967,51.9723,2.138,0.0,-0.004603331064713666,0.88,0.0,3
155,2770.16,93.2641,-0.242877,-0.0849956,0.124287,51.5773,2.16,0.0,-0.00885381262143102,0.88,0.0,3
156,2770.73,94.132,-0.187023,-0.0844472,0.133729,51.3517,2.182,0.0,-0.0126569704588929,0.88,0.0,3
157,2771.31,95.0063,-0.138554,-0.0836395,0.143248,51.2768,2.204,0.0,-0.01600746367668414,0.88,0.0,3
158,2771.89,95.8911,-0.0961983,-0.0825923,0.152806,51.3461,2.226,0.0,-0.018934949969752778,0.88,0.0,3
159,2772.47,96.7872,-0.0551269,-0.0813311,0.162373,51.5517,2.248,0.0,-0.021467553051006092,0.88,0.0,3
160,2773.07,97.6932,-0.0187774,-0.0798538,0.171912,51.9053,2.27,0.0,-0.023656276469245098,0.88,0.0,3
161,2773.67,98.5943,0.0170736,-0.078172,0.181397,52.4124,2.292,0.0,-0.0255188779259561,0.8575900000000006,0.0,3
162,2774.27,99.4924,0.052469,-0.0763424,0.1908,53.0496,2.314,0.0,-0.027090571584665206,0.88,0.0,3
163,2774.88,100.398,0.086072,-0.0743931,0.200099,53.8114,2.336,0.0,-0.02840691737704441,0.88,0.0,3
164,2775.49,101.304,0.116685,-0.0723398,0.209275,54.7012,2.358,0.0,-0.029491787927735772,0.88,0.0,3
165,2776.11,102.208,0.144294,-0.0701926,0.218308,55.7276,2.38,0.0,-0.03035861810711675,0.88,0.0,3
166,2776.74,103.11,0.169532,-0.0679539,0.22718,56.9074,2.402,0.0,-0.031018350697398063,0.88,0.0,3
167,2777.37,104.01,0.195524,-0.0656489,0.235865,58.2405,2.424,0.0,-0.03148223209072065,0.88,0.0,3
